iter	Passed	Remaining
221	10600	13275
222	10650	13230
223	10699	13183
224	10747	13135
225	10794	13087
226	10843	13040
227	10890	12992
228	10938	12944
229	10986	12897
230	11034	12850
231	11082	12801
232	11129	12753
233	11178	12706
234	11224	12657
235	11274	12611
236	11321	12563
237	11368	12514
238	11421	12473
239	11469	12425
240	11521	12381
241	11569	12334
242	11614	12283
243	11661	12235
244	11708	12186
245	11754	12136
246	11802	12088
247	11851	12042
248	11898	11994
249	11954	11954
250	12001	11905
251	12058	11866
252	12106	11819
253	12153	11771
254	12201	11723
255	12249	11675
256	12297	11627
257	12344	11579
258	12391	11530
259	12436	11480
260	12484	11431
261	12533	11385
262	12582	11338
263	12630	11290
264	12680	11244
265	12728	11196
266	12775	11148
267	12823	11100
268	12873	11054
269	12921	11007
270	12970	10960
271	13020	10914
272	13069	10867
273	13119	10821
274	13167	10773
275	13218	10727
276	13266	10680
277	13314	10632
278	13362	10584
279	13410	10536
280	13458	10488
281	13506	10441
282	13555	10394
283	13605	10347
284	13654	10300
285	13702	10252
286	13750	10204
287	13799	10157
288	13848	10110
289	13894	10061
290	13943	10014
291	13990	9965
292	14042	9920
293	14090	9872
294	14138	9825
295	14187	9777
296	14237	9731
297	14285	9683
298	14333	9635
299	14381	9587
300	14431	9540
301	14480	9493
302	14529	9446
303	14578	9399
304	14630	9353
305	14681	9307
306	14727	9258
307	14779	9212
308	14827	9165
309	14876	9117
310	14924	9069
311	14971	9021
312	15020	8973
313	15069	8926
314	15119	8879
315	15169	8832
316	15217	8784
317	15267	8738
318	15316	8690
319	15368	8645
320	15416	8597
321	15464	8548
322	15513	8500
323	15560	8452
324	15609	8405
325	15658	8357
326	15706	8309
327	15754	8261
328	15804	8214
329	15857	8168
330	15909	8123
331	15958	8075
332	16007	8027
333	16056	7979
334	16103	7931
335	16153	7884
336	16201	7836
337	16248	7787
338	16297	7740
339	16345	7692
340	16392	7643
341	16439	7595
342	16488	7547
343	16535	7498
344	16587	7452
345	16636	7404
346	16690	7359
347	16736	7310
348	16784	7262
349	16832	7213
350	16879	7165
351	16936	7121
352	16984	7072
353	17033	7025
354	17080	6976
355	17129	6928
356	17177	6880
357	17226	6832
358	17276	6785
359	17323	6737
360	17370	6688
361	17417	6639
362	17463	6590
363	17510	6542
364	17559	6494
365	17627	6453
366	17676	6406
367	17725	6357
368	17773	6309
369	17820	6261
370	17868	6212
371	17916	6164
372	17966	6117
373	18013	6068
374	18060	6020
375	18109	5972
376	18157	5924
377	18206	5876
378	18255	5828
379	18304	5780
380	18352	5732
381	18399	5683
382	18446	5635
383	18492	5586
384	18541	5538
385	18589	5490
386	18636	5441
387	18688	5394
388	18735	5346
389	18787	5299
390	18848	5254
391	18899	5206
392	18949	5159
393	18998	5111
394	19047	5063
395	19096	5015
396	19142	4966
397	19190	4918
398	19242	4870
399	19289	4822
400	19344	4775
401	19392	4727
402	19440	4679
403	19488	4631
404	19537	4582
405	19585	4534
406	19635	4486
407	19683	4438
408	19730	4389
409	19781	4342
410	19828	4293
411	19875	4245
412	19929	4198
413	19977	4149
414	20029	4102
415	20077	4054
416	20124	4005
417	20171	3957
418	20220	3909
419	20270	3860
420	20319	3812
421	20366	3764
422	20413	3715
423	20466	3668
424	20514	3620
425	20563	3572
426	20611	3523
427	20666	3476
428	20719	3429
429	20770	3381
430	20819	3332
431	20865	3284
432	20912	3235
433	20960	3187
434	21008	3139
435	21056	3090
436	21103	3042
437	21151	2994
438	21198	2945
439	21247	2897
440	21296	2849
441	21343	2800
442	21390	2752
443	21438	2703
444	21487	2655
445	21539	2607
446	21588	2559
447	21636	2511
448	21685	2463
449	21733	2414
450	21783	2366
451	21831	2318
452	21880	2270
453	21928	2221
454	21974	2173
455	22022	2125
456	22069	2076
457	22117	2028
458	22164	1979
459	22211	1931
460	22257	1882
461	22305	1834
462	22353	1786
463	22400	1737
464	22447	1689
465	22494	1641
466	22543	1592
467	22591	1544
468	22640	1496
469	22691	1448
470	22739	1400
471	22788	1351
472	22836	1303
473	22886	1255
474	22933	1207
475	22981	1158
476	23030	1110
477	23078	1062
478	23128	1013
479	23176	965
480	23222	917
481	23268	868
482	23317	820
483	23364	772
484	23411	724
485	23459	675
486	23506	627
487	23556	579
488	23604	530
489	23651	482
490	23698	434
491	23745	386
492	23793	337
493	23845	289
494	23908	241
495	23954	193
496	24001	144
497	24047	96
498	24095	48
499	24142	0
