iter	Logloss
0	0.5708361872
1	0.4899156815
2	0.4307931738
3	0.4083824915
4	0.3700387149
5	0.3402090865
6	0.3182688266
7	0.3094681781
8	0.3040127671
9	0.3004414466
10	0.2968029301
11	0.2856321215
12	0.2781779942
13	0.2710051747
14	0.2623070912
15	0.2582302313
16	0.2549211315
17	0.2509656014
18	0.2479179824
19	0.2447883768
20	0.2426084004
21	0.2402018387
22	0.2381556254
23	0.2363298391
24	0.234366984
25	0.2329717659
26	0.2308392673
27	0.2302301264
28	0.2279780906
29	0.2271013486
30	0.2258348026
31	0.2244401154
32	0.2232898041
33	0.2218711972
34	0.2199847234
35	0.2186585431
36	0.2177852309
37	0.2164057812
38	0.215705312
39	0.2146187402
40	0.2136452627
41	0.2127898944
42	0.2119405347
43	0.2109973529
44	0.2105068223
45	0.2094702841
46	0.2091548133
47	0.2083385987
48	0.2075105468
49	0.2069440495
50	0.2063267489
51	0.2055561484
52	0.2049018044
53	0.2038915573
54	0.2036261222
55	0.2034198484
56	0.202851069
57	0.2023208506
58	0.2018578788
59	0.2010679005
60	0.2005202319
61	0.1998274797
62	0.1991658668
63	0.1984401726
64	0.1970330783
65	0.1968328128
66	0.1965722346
67	0.1965158275
68	0.1953228454
69	0.1944833475
70	0.1940144856
71	0.1932174888
72	0.1927839444
73	0.1925070677
74	0.1916103988
75	0.1908303131
76	0.1901898365
77	0.1896682615
78	0.1888840303
79	0.1884275043
80	0.1880092186
81	0.1873092108
82	0.1866131661
83	0.1860458406
84	0.1847143419
85	0.1840223534
86	0.1832088329
87	0.1821972127
88	0.1815489906
89	0.1809899483
90	0.1806064784
91	0.1801100114
92	0.17986881
93	0.1796075847
94	0.1790435162
95	0.1786688051
96	0.1778685535
97	0.1776894606
98	0.1773954634
99	0.17697242
100	0.1761163291
101	0.1751294379
102	0.1742164374
103	0.172804864
104	0.1725809069
105	0.1719843428
106	0.171440342
107	0.1708076501
108	0.1700983585
109	0.1694689045
110	0.1686712974
111	0.1684615707
112	0.1681760387
