iter	Logloss
141	0.1585227306
142	0.158000521
143	0.1578538134
144	0.1576179578
145	0.1570520942
146	0.1566339527
147	0.1563123541
148	0.15599704
149	0.155658649
150	0.1550815485
151	0.1547653772
152	0.1542633221
153	0.1538438653
154	0.1535446354
155	0.1528429381
156	0.1526608524
157	0.1524935506
158	0.151917156
159	0.1514131056
160	0.1508592456
161	0.1505456493
162	0.1501716224
163	0.1499530867
164	0.1494429728
165	0.149028457
166	0.148386782
167	0.1478752545
168	0.147421464
169	0.147005528
170	0.146580958
171	0.1463347086
172	0.1456113131
173	0.1451042882
174	0.1448297104
175	0.1445750137
176	0.1444166858
177	0.1437118393
178	0.1432264393
179	0.1428977161
180	0.1425485506
181	0.1421842523
182	0.1417685132
183	0.1413540906
184	0.1412058907
185	0.1404434784
186	0.1401562704
187	0.1397821388
188	0.1393521555
189	0.1391763516
190	0.1387314376
191	0.1381247873
192	0.1379051474
193	0.1378031227
194	0.1376302161
195	0.1373695642
196	0.1368124161
197	0.1365203735
198	0.1363102647
199	0.1359244745
200	0.135662318
201	0.1354822515
202	0.1351303697
203	0.1345369321
204	0.1341570583
205	0.1337281649
206	0.1335513417
207	0.1332685796
208	0.1329125987
209	0.1327100737
210	0.1322401762
211	0.1322292173
212	0.1319818102
213	0.1315190662
214	0.1310450429
215	0.1308020799
216	0.130603185
217	0.1304574337
218	0.1304046828
219	0.1300552022
220	0.1297667118
221	0.1296598338
222	0.1294688126
223	0.1293145738
224	0.1286888995
225	0.1282967639
226	0.1279222836
227	0.1277650104
228	0.1274483032
229	0.1271412413
230	0.1269946464
231	0.1268960136
232	0.1265628397
233	0.1264138036
234	0.1258565262
235	0.1255215332
236	0.1253264371
237	0.1251517252
238	0.1250158626
239	0.1246909398
240	0.12434152
241	0.1239932883
242	0.1237062937
243	0.1235585225
244	0.123250279
245	0.1230871425
246	0.1225404923
247	0.1222298815
248	0.1220728028
249	0.1216927522
250	0.1213703821
251	0.1212757421
252	0.1210333962
253	0.1206364287
254	0.120320302
255	0.1199244186
256	0.1196075189
257	0.119252027
258	0.1189274189
259	0.1187003284
260	0.1184530301
261	0.1183696412
262	0.1182344832
263	0.1181524801
264	0.1179501107
265	0.117790129
266	0.117563182
267	0.1172101575
268	0.1167503743
269	0.1164977481
270	0.1163235196
271	0.1160232915
272	0.1158513556
273	0.1154912675
274	0.115185591
275	0.1149332486
276	0.1147851681
277	0.1145154204
278	0.1141417622
279	0.1139955876
280	0.1138296383
281	0.1136847625
282	0.1135982903
283	0.1133523871
284	0.1131183311
285	0.1127501043
286	0.112593415
287	0.1123154349
288	0.1119847654
289	0.1118072114
290	0.1116353994
291	0.1114936975
292	0.1114839054
293	0.1110635209
294	0.1107469276
295	0.1104205357
296	0.1103189122
297	0.1102676945
298	0.110165019
299	0.1100024429
300	0.10939798
301	0.1090694113
302	0.1088515627
303	0.108648813
304	0.1083142508
305	0.108135219
306	0.1079761703
307	0.107743571
308	0.1076221949
309	0.1074330145
310	0.1072756526
311	0.1069132452
312	0.1064736106
313	0.1062053903
314	0.1060919302
315	0.1058976796
316	0.1058379379
317	0.1055952497
318	0.1054565978
319	0.105226845
320	0.104842843
321	0.1045987978
322	0.1045856241
323	0.1042880566
324	0.1041891653
325	0.1040646205
326	0.1039247379
327	0.1036511775
328	0.1033795987
329	0.1031897337
330	0.1029234562
331	0.1027229355
332	0.102600562
333	0.1024896878
334	0.1022768836
335	0.1021097189
336	0.1018754512
337	0.1017154193
338	0.1016358955
339	0.1015620341
340	0.1012741257
341	0.1011125036
342	0.1009137288
343	0.1007983731
344	0.1006653744
345	0.1005495002
346	0.1003988675
347	0.1002615482
348	0.1001157887
349	0.100015267
350	0.09996480556
351	0.09987366855
352	0.09971887815
353	0.09950259679
354	0.0994445285
355	0.09918745231
356	0.0989494549
357	0.09877126677
358	0.09855414881
359	0.09819218084
360	0.09791332606
361	0.09768447791
362	0.09744055191
363	0.09726352769
364	0.09698402463
365	0.0969128817
366	0.09680772691
367	0.09653798361
368	0.09623456385
369	0.09612248957
370	0.09594002482
371	0.09584146241
372	0.09563336235
373	0.09529302278
374	0.09516114607
375	0.09502878512
376	0.09498076448
377	0.09489460692
378	0.09479601349
379	0.09467965468
380	0.0944515933
381	0.09429884838
382	0.09403730895
383	0.09378871678
384	0.09360618195
385	0.09339022078
386	0.09308401392
387	0.09287989444
388	0.0926274232
389	0.09240476627
390	0.09224857443
391	0.09214252209
392	0.09197100735
393	0.09178141446
394	0.09174605424
395	0.09161608779
396	0.09132011902
397	0.09117524323
398	0.09091041877
399	0.09066489991
400	0.09048472526
401	0.09031847995
402	0.09023194474
403	0.09012127091
404	0.09004848376
405	0.08988145971
406	0.08962802686
407	0.08957191981
408	0.08946416876
409	0.08932898683
410	0.08904496666
411	0.08888626549
412	0.08876875341
413	0.08866651521
414	0.0884031034
415	0.08803282216
416	0.08787891953
417	0.08757945187
418	0.08740700337
419	0.08713220275
420	0.08701190181
421	0.08681013026
422	0.08659306625
423	0.08646872405
424	0.08616490349
425	0.08596764844
426	0.085797678
427	0.08563144967
428	0.08531376394
429	0.08514467435
430	0.08500198562
431	0.08483222645
432	0.08465520729
433	0.08449906855
434	0.08433453631
435	0.0841825419
436	0.08407659173
437	0.08386181093
438	0.08366631596
439	0.08355915515
440	0.08346424215
441	0.08334722846
442	0.08316693658
443	0.08301820759
444	0.08269561989
445	0.08252719733
446	0.08230764578
447	0.08215573216
448	0.08198393185
449	0.08185925406
450	0.08151691992
451	0.08144899626
452	0.08126254379
453	0.08112916904
454	0.08104777548
455	0.08088466712
456	0.08083334922
457	0.08075471228
458	0.08066059511
459	0.08057946029
460	0.08052338019
461	0.08038651518
462	0.0802042672
463	0.08010666337
464	0.07992226379
465	0.07979102118
466	0.0796362845
467	0.07953990718
468	0.07941630762
469	0.07916955012
470	0.07906055269
471	0.07883520053
472	0.07872014105
473	0.07849639162
474	0.07829883357
475	0.07817768737
476	0.07804143065
477	0.07781841489
478	0.07774635067
479	0.07765006307
480	0.07752289382
481	0.07741890994
482	0.07732010053
483	0.07713429956
484	0.07701198031
485	0.07694250109
486	0.07683506838
487	0.07682977755
488	0.07677800459
489	0.07667837986
490	0.07658326085
491	0.07653267763
492	0.07634567109
493	0.07620154667
494	0.07595951352
495	0.07584341793
496	0.0757335155
497	0.07560620048
498	0.07512804211
499	0.07489437807
