iter	Logloss
0	0.5752562464
1	0.4907078219
2	0.4276003883
3	0.403205529
4	0.3651357773
5	0.3384258098
6	0.3186604909
7	0.29796899
8	0.2870623231
9	0.2820892793
10	0.2787480714
11	0.2717339506
12	0.2663177952
13	0.2609073757
14	0.2564446888
15	0.2528839626
16	0.2496001517
17	0.2455513176
18	0.2421673827
19	0.2395950659
20	0.2382640878
21	0.2362702585
22	0.2350399874
23	0.2314594569
24	0.2298459907
25	0.2281520771
26	0.2258641557
27	0.224564704
28	0.2234615109
29	0.2226178654
30	0.2214307469
31	0.220283436
32	0.2192376374
33	0.2181600894
34	0.2173726484
35	0.2164161093
36	0.2153994147
37	0.2140980586
38	0.2134610849
39	0.2125543709
40	0.2121171527
41	0.2115273019
42	0.2106811809
43	0.2098763391
44	0.2089334261
45	0.2084291303
46	0.207847213
47	0.2068706917
48	0.206508749
49	0.2059146403
50	0.2049958984
51	0.2042722019
52	0.2028802433
53	0.2025005863
54	0.2022439262
55	0.202216045
56	0.201545178
57	0.2010748814
58	0.2006596726
59	0.2003145072
60	0.1997292838
61	0.1993718928
62	0.1987281267
63	0.1982658893
64	0.1978549531
65	0.1974068894
66	0.1968625658
67	0.1963451059
68	0.1955617754
69	0.1948559656
70	0.1942172696
71	0.1937036252
72	0.1931983981
73	0.1929415785
74	0.1924769626
75	0.1911867403
76	0.1910693015
77	0.1904744037
78	0.18985695
79	0.189112988
80	0.1883659739
81	0.1880080526
82	0.1874620304
83	0.1869872305
84	0.1861150317
85	0.1857408456
86	0.1856547123
87	0.1852808934
88	0.1849018536
89	0.1844403646
90	0.1836626571
91	0.1834950695
92	0.1832008662
93	0.1828136267
94	0.1822096849
95	0.182069449
96	0.1815324085
97	0.1809236394
98	0.1802194085
99	0.1797339459
100	0.1789783022
101	0.1785369743
102	0.1781479867
103	0.1775648167
104	0.1768535355
105	0.1763028058
106	0.1756723051
107	0.1753570619
108	0.1748529953
109	0.1743756516
110	0.1739791716
111	0.1737097476
112	0.1730739819
113	0.1726801382
114	0.1722235632
115	0.1713567239
116	0.1704812937
117	0.1697259254
118	0.1692068802
119	0.1687043071
120	0.1682193184
121	0.1677787237
122	0.1672229623
123	0.1667301253
124	0.1661880428
125	0.165758241
126	0.1654886978
127	0.1650135012
128	0.1638805793
129	0.1634829773
130	0.1631722171
131	0.1629365443
132	0.1626802322
133	0.162087458
134	0.1616771979
135	0.1611115467
136	0.1605261408
137	0.1601123468
138	0.1597287558
139	0.1593068758
140	0.1587677522
